id,number,acceptdate,sum,descriptionRu,customer_name,provider_name,customer_bin,provider_bin
1573,№ 06/АЭД-916,09.02.2016 18:02,75000,Орындаушы  бағдарламалық қамтамасыз етуді «Архив электронных документов для Системы электронного документооборота «Log Book» Модулі (одан әрі - Бағдарлама) қатысты қызметін көрсетеді,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ЭКОНОМИКИ И ФИНАНСОВ ГОРОДА ШАХТИНСКА""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ИНФОРМАЦИОННЫХ СИСТЕМ ""WTO""",140140004866,060740001589
1574,3,22.01.2016 09:43,8747321,услуги  уличного   освещения  населенных   пунктов сельского округа Батыр,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА СЕЛЬСКОГО ОКРУГА БАТЫР"" АКИМАТА МУНАЙЛИНСКОГО РАЙОНА","ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""МАНГИСТАУЭНЕРГО"" АКИМАТА МУНАЙЛИНСКОГО РАЙОНА",111040004007,000840000553
1575,1,20.01.2016 11:25,66768,"үытсыздандыру және улау қызметi  (собственное помещение 700,7 кв.м,планируемое арендное помещение 1154,2 кв.м)","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР РЕСОЦИАЛИЗАЦИИ ЛИЦ, ОКАЗАВШИХСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ"" РУДНЕНСКОГО ГОРОДСКОГО ОТДЕЛА ЗАНЯТОСТИ И СОЦИАЛЬНЫХ ПРОГРАММ","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУДНЕНСКАЯ ДЕЗИНФЕКЦИОННАЯ СТАНЦИЯ""",010540001700,010840004805
1576,2,18.01.2016 16:08,89977,Страхование автотранспорта,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""АУЛИЕКОЛЬСКОЕ МЕЖРАЙОННОЕ ДОРОЖНО-ЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ"" УПРАВЛЕНИЯ ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ КОМПАНИЯ ""КАЗКОММЕРЦ- ПОЛИС"" (ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ АО ""КАЗКОММЕРЦБАНК"")",080640011467,991040003338
1577,07,22.01.2016 17:14,275143,"Обслуживание программного продукта ""Парус-КАЗ.Бюджет"" (Бухгалтерский учет МСФО.Расчет заработной платы).","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 21"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""ОТДЕЛ ОБРАЗОВАНИЯ ГОРОДА СЕМЕЙ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРУС-КАЗ""",991040001321,071140021605
1578,68,05.05.2016 15:59,111600,Услуги по техническому обслуживанию и ремонту вычислительной техники,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КООРДИНАЦИИ ЗАНЯТОСТИ И СОЦИАЛЬНЫХ ПРОГРАММ ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",ИП ТРОЕГЛАЗОВ ИГОРЬ,970240000770,640820302334
1579,2,20.01.2016 20:01,940071,Ақпараттық жүйесін жүргізілуі мен техникалық қолдау қызметі,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ФИНАНСОВ АКСУСКОГО РАЙОНА""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРУС-КАЗ""",030740003440,071140021605
1580,1,18.01.2016 12:02,50000,Семинар,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ КАРАЖАЛСКОГО ГОРОДСКОГО МАСЛИХАТА""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР КВАЛИФИЦИРОВАННОГО ОБУЧЕНИЯ""",990440005099,091240019889
1581,1,21.01.2016 17:48,188392,Услуги по заправке картриджей,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СЕЛЬСКОГО ХОЗЯЙСТВА И ВЕТЕРИНАРИИ ГОРОДА АЛМАТЫ""",ИП RANUR,150240014968,911220300871
1582,2,25.01.2016 19:12,78214,"акпараттық-кұкыктық камтамасыз ету-""Зан"" деректер базасына абонентік қызмет көрсету","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ФИНАНСОВ АКИМАТА САРЫКОЛЬСКОГО РАЙОНА""","РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ИНСТИТУТ ЗАКОНОДАТЕЛЬСТВА И ПРАВОВОЙ ИНФОРМАЦИИ РЕСПУБЛИКИ КАЗАХСТАН"" МИНИСТЕРСТВА ЮСТИЦИИ РЕСПУБЛИКИ КАЗАХСТАН",000340005188,990540004034
